po_id,supplier_id,order_date,promised_delivery_date,actual_delivery_date,status,product_category,quantity,unit_cost,total_po_value,buyer_region,payment_terms_days,supplier_name,tier,supplier_region,promised_lead_time,actual_lead_time,days_delayed,is_delayed,is_on_time,delay_cost,order_month
PO-2023-000001,SUP-004,2023-08-20,2023-08-28,2023-08-28,Delivered,Packaging,121,351.63,42547.23,APAC,60,"Johnson, Gonzalez and Santos",Tier 1,North America,8,8.0,0.0,False,True,0.0,2023-08
PO-2023-000002,SUP-014,2023-09-29,2023-10-14,2023-10-26,Delivered,Packaging,107,8.64,924.48,APAC,60,"Flowers, Martin and Kelly",Tier 2,EMEA,15,27.0,12.0,True,False,22.19,2023-09
PO-2024-000003,SUP-020,2024-06-30,2024-07-17,2024-07-21,Delivered,Logistics Services,66,335.86,22166.76,North America,60,Lewis-Porter,Tier 3,North America,17,21.0,4.0,True,False,177.33,2024-06
PO-2024-000004,SUP-009,2024-02-07,2024-02-23,2024-02-23,Delivered,Logistics Services,321,20.25,6500.25,North America,45,Munoz-Roman,Tier 2,APAC,16,16.0,0.0,False,True,0.0,2024-02
PO-2024-000005,SUP-016,2024-11-25,2024-12-03,2024-12-03,Delivered,Packaging,428,150.33,64341.24,EMEA,60,"Sanchez, Ford and Nelson",Tier 2,APAC,8,8.0,0.0,False,True,0.0,2024-11
PO-2024-000006,SUP-018,2024-11-28,2024-12-16,2024-12-26,Delivered,Raw Materials,173,49.57,8575.61,North America,45,Underwood LLC,Tier 3,North America,18,28.0,10.0,True,False,171.51,2024-11
PO-2023-000007,SUP-015,2023-04-23,2023-05-07,2023-05-07,Delivered,Packaging,252,193.61,48789.72,EMEA,30,"Zuniga, Wong and Lynch",Tier 2,APAC,14,14.0,0.0,False,True,0.0,2023-04
PO-2024-000008,SUP-024,2024-11-02,2024-11-12,2024-11-12,Delivered,Raw Materials,52,351.36,18270.72,APAC,30,Campos Inc,Tier 3,EMEA,10,10.0,0.0,False,True,0.0,2024-11
PO-2024-000009,SUP-005,2024-05-16,2024-05-21,2024-05-21,Delivered,Logistics Services,229,230.61,52809.69,APAC,60,Cole LLC,Tier 1,APAC,5,5.0,0.0,False,True,0.0,2024-05
PO-2024-000010,SUP-011,2024-02-10,2024-02-21,2024-02-21,Delivered,Raw Materials,251,218.89,54941.39,APAC,30,"Montgomery, Hensley and Ray",Tier 2,EMEA,11,11.0,0.0,False,True,0.0,2024-02
PO-2024-000011,SUP-004,2024-03-30,2024-04-03,2024-04-06,Delivered,Packaging,252,168.28,42406.56,North America,60,"Johnson, Gonzalez and Santos",Tier 1,North America,4,7.0,3.0,True,False,254.44,2024-03
PO-2024-000012,SUP-024,2024-07-09,2024-07-22,2024-07-22,Delivered,Packaging,93,297.5,27667.5,EMEA,30,Campos Inc,Tier 3,EMEA,13,13.0,0.0,False,True,0.0,2024-07
PO-2024-000013,SUP-015,2024-07-01,2024-07-19,2024-07-19,Delivered,Raw Materials,226,288.01,65090.26,APAC,30,"Zuniga, Wong and Lynch",Tier 2,APAC,18,18.0,0.0,False,True,0.0,2024-07
PO-2023-000014,SUP-009,2023-08-21,2023-09-01,2023-09-07,Delivered,Logistics Services,414,448.6,185720.4,North America,45,Munoz-Roman,Tier 2,APAC,11,17.0,6.0,True,False,2228.64,2023-08
PO-2024-000015,SUP-011,2024-04-11,2024-04-24,2024-04-24,Delivered,Raw Materials,339,58.33,19773.87,North America,30,"Montgomery, Hensley and Ray",Tier 2,EMEA,13,13.0,0.0,False,True,0.0,2024-04
PO-2023-000016,SUP-008,2023-04-09,2023-05-03,2023-05-03,Delivered,Electronics,281,161.98,45516.38,EMEA,60,Davis Inc,Tier 2,EMEA,24,24.0,0.0,False,True,0.0,2023-04
PO-2024-000017,SUP-007,2024-09-25,2024-10-05,2024-10-09,Delivered,Packaging,156,496.23,77411.88,APAC,45,Ramirez-Lewis,Tier 2,APAC,10,14.0,4.0,True,False,619.3,2024-09
PO-2023-000018,SUP-011,2023-06-06,2023-06-21,2023-06-21,Delivered,Raw Materials,447,332.52,148636.44,APAC,30,"Montgomery, Hensley and Ray",Tier 2,EMEA,15,15.0,0.0,False,True,0.0,2023-06
PO-2023-000019,SUP-018,2023-09-23,2023-10-04,2023-10-08,Delivered,Raw Materials,43,80.88,3477.84,APAC,45,Underwood LLC,Tier 3,North America,11,15.0,4.0,True,False,27.82,2023-09
PO-2024-000020,SUP-017,2024-09-04,2024-09-25,2024-09-25,Delivered,Logistics Services,167,252.87,42229.29,APAC,60,"Hawkins, Cohen and Cameron",Tier 2,APAC,21,21.0,0.0,False,True,0.0,2024-09
PO-2023-000021,SUP-013,2023-06-10,2023-06-24,2023-06-29,Delivered,MRO,258,348.66,89954.28,APAC,30,Delacruz Group,Tier 2,APAC,14,19.0,5.0,True,False,899.54,2023-06
PO-2023-000022,SUP-011,2023-01-18,2023-01-25,2023-02-05,Delivered,Raw Materials,287,201.8,57916.6,APAC,30,"Montgomery, Hensley and Ray",Tier 2,EMEA,7,18.0,11.0,True,False,1274.17,2023-01
PO-2024-000023,SUP-020,2024-04-09,2024-05-10,2024-05-10,Delivered,Logistics Services,254,279.82,71074.28,North America,60,Lewis-Porter,Tier 3,North America,31,31.0,0.0,False,True,0.0,2024-04
PO-2023-000024,SUP-017,2023-04-09,2023-04-24,2023-04-24,Delivered,MRO,98,403.16,39509.68,APAC,60,"Hawkins, Cohen and Cameron",Tier 2,APAC,15,15.0,0.0,False,True,0.0,2023-04
PO-2024-000025,SUP-005,2024-04-09,2024-04-14,2024-04-14,Delivered,Logistics Services,63,267.73,16866.99,EMEA,60,Cole LLC,Tier 1,APAC,5,5.0,0.0,False,True,0.0,2024-04
PO-2023-000026,SUP-006,2023-10-16,2023-10-25,2023-10-25,Delivered,Packaging,144,127.68,18385.92,APAC,30,Blake and Sons,Tier 2,APAC,9,9.0,0.0,False,True,0.0,2023-10
PO-2024-000027,SUP-010,2024-11-02,2024-11-10,2024-11-12,Delivered,MRO,104,158.62,16496.48,EMEA,45,"Martinez, Nielsen and Miller",Tier 2,APAC,8,10.0,2.0,True,False,65.99,2024-11
PO-2023-000028,SUP-006,2023-04-20,2023-05-03,2023-05-07,Delivered,Packaging,357,91.45,32647.65,North America,30,Blake and Sons,Tier 2,APAC,13,17.0,4.0,True,False,261.18,2023-04
PO-2024-000029,SUP-005,2024-04-21,2024-04-28,2024-04-28,Delivered,Logistics Services,370,426.31,157734.7,APAC,60,Cole LLC,Tier 1,APAC,7,7.0,0.0,False,True,0.0,2024-04
PO-2023-000030,SUP-025,2023-06-15,2023-07-22,2023-07-22,Delivered,Electronics,148,189.94,28111.12,North America,60,Conner Group,Tier 3,EMEA,37,37.0,0.0,False,True,0.0,2023-06
PO-2024-000031,SUP-003,2024-08-06,2024-08-13,2024-08-13,Delivered,MRO,420,451.81,189760.2,EMEA,30,Johnson-Davis,Tier 1,North America,7,7.0,0.0,False,True,0.0,2024-08
PO-2024-000032,SUP-016,2024-03-15,2024-03-27,2024-03-27,Delivered,Packaging,324,259.54,84090.96,APAC,60,"Sanchez, Ford and Nelson",Tier 2,APAC,12,12.0,0.0,False,True,0.0,2024-03
PO-2024-000033,SUP-022,2024-04-25,2024-05-18,2024-05-18,Delivered,Packaging,323,211.36,68269.28,EMEA,30,Burgess-Patterson,Tier 3,APAC,23,23.0,0.0,False,True,0.0,2024-04
PO-2024-000034,SUP-020,2024-05-30,2024-06-19,2024-06-24,Delivered,Logistics Services,398,458.59,182518.82,APAC,60,Lewis-Porter,Tier 3,North America,20,25.0,5.0,True,False,1825.19,2024-05
PO-2024-000035,SUP-012,2024-01-10,2024-02-01,2024-02-01,Delivered,Packaging,280,318.29,89121.2,North America,30,Stanley LLC,Tier 2,EMEA,22,22.0,0.0,False,True,0.0,2024-01
PO-2024-000036,SUP-015,2024-02-23,2024-03-07,2024-03-17,Delivered,Raw Materials,314,46.82,14701.48,APAC,30,"Zuniga, Wong and Lynch",Tier 2,APAC,13,23.0,10.0,True,False,294.03,2024-02
PO-2024-000037,SUP-002,2024-11-02,2024-11-07,2024-11-07,Delivered,Packaging,498,473.28,235693.44,APAC,60,Rhodes PLC,Tier 1,EMEA,5,5.0,0.0,False,True,0.0,2024-11
PO-2023-000038,SUP-021,2023-03-08,2023-03-31,2023-03-31,Delivered,Packaging,243,263.7,64079.1,EMEA,45,"Ellis, Baker and Wright",Tier 3,APAC,23,23.0,0.0,False,True,0.0,2023-03
PO-2023-000039,SUP-015,2023-06-14,2023-06-25,2023-07-04,Delivered,Electronics,363,330.64,120022.32,North America,30,"Zuniga, Wong and Lynch",Tier 2,APAC,11,20.0,9.0,True,False,2160.4,2023-06
PO-2024-000040,SUP-005,2024-05-26,2024-06-02,2024-06-02,Delivered,Logistics Services,173,185.28,32053.44,APAC,60,Cole LLC,Tier 1,APAC,7,7.0,0.0,False,True,0.0,2024-05
PO-2023-000041,SUP-025,2023-03-02,2023-03-14,2023-03-14,Delivered,Logistics Services,468,278.73,130445.64,EMEA,60,Conner Group,Tier 3,EMEA,12,12.0,0.0,False,True,0.0,2023-03
PO-2023-000042,SUP-023,2023-09-21,2023-10-22,2023-10-22,Delivered,Raw Materials,217,426.01,92444.17,North America,30,Robinson-Bright,Tier 3,APAC,31,31.0,0.0,False,True,0.0,2023-09
PO-2024-000043,SUP-008,2024-02-16,2024-02-27,,Cancelled,Electronics,56,413.57,23159.92,EMEA,60,Davis Inc,Tier 2,EMEA,11,,,False,False,0.0,2024-02
PO-2023-000044,SUP-013,2023-11-06,2023-11-22,2023-11-22,Delivered,MRO,277,498.53,138092.81,North America,30,Delacruz Group,Tier 2,APAC,16,16.0,0.0,False,True,0.0,2023-11
PO-2024-000045,SUP-019,2024-08-08,2024-09-03,2024-09-03,Delivered,Electronics,76,49.77,3782.52,EMEA,45,Clark PLC,Tier 3,EMEA,26,26.0,0.0,False,True,0.0,2024-08
PO-2023-000046,SUP-020,2023-06-18,2023-07-07,2023-07-08,Delivered,Logistics Services,456,329.85,150411.6,North America,60,Lewis-Porter,Tier 3,North America,19,20.0,1.0,True,False,300.82,2023-06
